competition_key,player_id,player_name,team_id,team_name,crest_url,goals,penalties,own_goals,penalty_shootout_scored,penalty_shootout_missed
22227461-21-22229338,560518,"MAYORDOMO MARTINEZ, HECTOR",1354140,"U.B. CONQUENSE ""B""",https://www.ffcm.es/pnfg/pimg/Equipos/00100_0000000096_CONQUENSE.jpg,9,0,0,0,0
22342662-21-22343993,1234136,"GIRON HARO, ALONSO",1819622,E.F.B. CONQUENSE,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000072131_Escudo_Conquense_300ppp.jpg,9,0,0,0,0
22108378-21-22108379,5280631,"FERNANDEZ FABERO, MARIO",1045,"C.D. BEZANA ""A""",https://www.rfcf.es/pnfg/pimg/Clubes/00100_0000617684_Escudo_Oficial_C.D._Bezana_Trasparente.jpg,9,0,0,0,0
22320195-21-22320197,733784,"PORTAO PEÑA, JAVIER",497,VALDEFIERRO-C.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000478076_Logo_Valdefierro_Rebranding_vectorizado_25_26.png,9,0,0,0,0
22620060-21-23108610,90600110,"ARANZABAL LLORDES, ADRIAN",29809,ARRUPE CHAMINADE C.D.D.F.,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010134622_cd_sanse.bmp,9,1,0,0,0
23289295-21-23289297,470739,"SOL ORTIZ, FRANCISCO",205473,Hércules de Alicante CF,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/205473_50x50.png,9,4,0,0,0
22227427-21-22229298,317431,"GONZALEZ ALGUACIL, RAUL",30990,"C.D. TOLEDO, SAD",https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000064849_ESCUDO_CDT.jpg,9,1,0,0,0
22320195-21-22320197,896885,"CLAVERIA ALONSO, HUGO",567,SAN JOSE-U.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000041067_ESCUDO.JPG,9,1,0,0,0
22320181-21-22395200,3640664,"OLIVAN DUQUE, PABLO",353,VILLANUEVA-C.F.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000256746_Escudo_Villanueva_001.png,9,0,0,0,0
22620060-21-23108608,90272809,"ESPINOSA DEL CURA, IÑIGO",6830,OIARTZUN K.E.,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2054.JPG,9,0,0,0,0
22620312-21-22865876,289351,"LAGE EPALZA, XABIER",13689,RETUERTO,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1061_grande.png,9,1,0,0,0
22342662-21-22343993,2661771,"POLEIS ACOSTA, WILKINS YEOBEL",271867,C.D. SONSECA,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000077770_descarga.png,9,0,0,0,0
22342662-21-22343993,2661955,"CALDERA ARCIA, YOSLAND DANIEL",109377,E.M.F. TORRIJOS,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000033159_ESCUDO_EMF_TORRIJOS_web.jpg,9,2,0,0,0
22342662-21-22343993,2666191,"LOPEZ BREA HITA, AITOR",608565,E.F.B. QUINTANAR ORDEN,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000210628_Logo_Escuela_Quintanar_PNG.png,9,2,0,0,0
22620058-21-23099507,271066,"GASTIAIN ITUARTE, BEÑAT",6890,ZUMAIAKO F.T.,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2062.jpg,9,0,0,0,0
23289295-21-23289297,21758015,"FLAKUS BOSILJ, DAVID",206522,Real Murcia CF,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206522_50x50.png,9,1,0,0,0
23289323-21-23289328,23006170,"LOZANO MEDINA, TOMAS",901770120,Las Rozas CF,https://marcadores.rfef.es/pnfg/pimg/Clubes/00100_0078990078_Escudo_nuevos_Las_Rozas.jpg,9,0,0,0,0
22342662-21-22343993,22164135,"HERRAIZ VELA, ALVARO",34559,C.D. GUADALAJARA,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000202744_1_Escudo_principal_contorno__SE_PONE_SOBRE_FONDO_BLANCO.png,9,2,0,0,0
23289295-21-23289297,23365765,"LOPEZ PINTO DORADO, FRANCISCO JAVIER",206318,CE Sabadell FC,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206318_50x50.png,9,0,0,0,0
23289295-21-23289297,23365773,"ESCUDERO VEGA, RODRIGO",206318,CE Sabadell FC,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206318_50x50.png,9,1,0,0,0
23289295-21-23289297,23393952,"VILLALBA ROJANO, DIONISIO ENMANUEL",205606,CD Eldense,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/205606_50x50.png,9,3,0,0,0
23289295-21-23289297,24000469,"BASSELE, SEYDINA MOUHAMED",206802,Antequera CF,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206802_50x50.png,9,0,0,0,0
22320181-21-22395200,2129342,"HAMID BALLACHI, RAYAN",109,EBRO-C.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000169078_CD_EBRO.jpg,9,0,0,0,0
22536409-21-22536410,46372,"ROIG GALMES, JOAN",101611,"CARDASSAR ""A""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000303129_MIN_ESC_C.E._CARDASSAR.png,9,5,0,0,0
22320181-21-22395200,2023413,"GRACIA PADILLA, FRANCISCO JAVIER",693,CUARTE-C.D.,https://www.futbolaragon.com/pnfg/pimg/Equipos/00100_0000055966_escudo_CON_nombreJPG.jpg,9,0,0,0,0
