match_id,competition_key,match_date,kick_off,match_week,home_team_id,away_team_id,home_score,away_score,home_win,draw,home_loss,stadium_id,referee_id,match_status,home_goal_diff
9985218,22619991-21-22619992,2025-11-23,12:00:00,10,6087,5675,5,4,1,0,0,22715316,52,available,1
9985216,22619991-21-22619992,2025-11-23,12:30:00,10,13129,29730,5,2,1,0,0,4260,89,available,3
9985219,22619991-21-22619992,2025-11-23,17:00:00,10,10341,9652,2,1,1,0,0,3155,90,available,1
9985228,22619991-21-22619992,2025-11-29,11:00:00,11,9652,4539,3,1,1,0,0,3169,28,available,2
9985227,22619991-21-22619992,2025-11-29,12:00:00,11,5675,10341,0,2,0,0,1,1964,26,available,-2
9985221,22619991-21-22619992,2025-11-29,12:45:00,11,9592,9501,3,0,1,0,0,4269,94,available,3
9985226,22619991-21-22619992,2025-11-30,10:35:00,11,6652,6087,0,4,0,0,1,1285,95,available,-4
9985222,22619991-21-22619992,2025-11-30,11:00:00,11,6576,9576,0,2,0,0,1,1300,96,available,-2
9985223,22619991-21-22619992,2025-11-30,11:00:00,11,2686,5842,5,1,1,0,0,68,97,available,4
9985229,22619991-21-22619992,2025-11-30,12:45:00,11,6791,12972,3,1,1,0,0,1898,98,available,2
9985224,22619991-21-22619992,2025-11-30,16:00:00,11,10422,13129,2,1,1,0,0,4,99,available,1
9985225,22619991-21-22619992,2025-11-30,16:30:00,11,29730,4558,1,7,0,0,1,1294,41,available,-6
9985237,22619991-21-22619992,2025-12-04,18:00:00,12,4539,5675,2,2,0,1,0,70,90,available,0
9985234,22619991-21-22619992,2025-12-04,19:00:00,12,4558,10422,6,0,1,0,0,4367,103,available,6
9985232,22619991-21-22619992,2025-12-06,10:30:00,12,5842,6576,0,0,0,1,0,1313,85,available,0
9985236,22619991-21-22619992,2025-12-06,10:30:00,12,10341,6652,3,1,1,0,0,3155,105,available,2
9985230,22619991-21-22619992,2025-12-06,11:00:00,12,9501,6791,2,1,1,0,0,3169,106,available,1
9985233,22619991-21-22619992,2025-12-06,11:45:00,12,13129,2686,0,3,0,0,1,4158,2,available,-3
9985231,22619991-21-22619992,2025-12-07,10:30:00,12,9576,9592,2,0,1,0,0,4218,20,available,2
9985238,22619991-21-22619992,2025-12-07,15:30:00,12,12972,9652,2,1,1,0,0,3159,110,available,1
9985245,22619991-21-22619992,2025-12-13,12:00:00,13,6652,4539,3,1,1,0,0,1285,111,available,2
9985246,22619991-21-22619992,2025-12-13,12:30:00,13,5675,12972,2,0,1,0,0,1964,54,available,2
9985240,22619991-21-22619992,2025-12-13,13:15:00,13,9592,5842,1,0,1,0,0,4269,113,available,1
9985247,22619991-21-22619992,2025-12-13,15:45:00,13,6791,9652,1,4,0,0,1,1898,114,available,-3
9985242,22619991-21-22619992,2025-12-13,17:45:00,13,2686,4558,0,1,0,0,1,68,38,available,-1
9985244,22619991-21-22619992,2025-12-13,17:45:00,13,29730,10341,0,4,0,0,1,1294,116,available,-4
9985243,22619991-21-22619992,2025-12-13,18:00:00,13,10422,6087,0,4,0,0,1,4,117,available,-4
9985241,22619991-21-22619992,2025-12-13,18:45:00,13,6576,13129,2,1,1,0,0,1300,118,available,1
9985239,22619991-21-22619992,2025-12-14,11:00:00,13,9501,9576,4,0,1,0,0,3169,67,available,4
9985253,22619991-21-22619992,2025-12-18,19:30:00,14,10341,10422,2,1,1,0,0,3155,83,available,1
9985252,22619991-21-22619992,2025-12-20,11:00:00,14,6087,2686,3,1,1,0,0,22715316,121,available,2
9985256,22619991-21-22619992,2025-12-20,11:00:00,14,9652,5675,3,3,0,1,0,3169,47,available,0
