stadium_id,stadium_name,city,field_type,country_name
580626293,Campo de Futbol José Luis Belda,Fortuna,Hierba Artificial,
172939515,PFC Costa del Sol,Cártama,Hierba Natural,
154196768,Ciudad Deportiva Valverde Reina,Totana,Hierba Artificial,
357627802,Polideportivo Municipal Sa Pobla,Pobla (Sa),Hierba Natural,
315532212,Estadio Municipal Sa Plana,Andratx,Hierba Artificial,
272008652,Campo Municipal de Deportes de Barbastro,Barbastro,,
550700118,Estadio Balear,Palma de Mallorca,Hierba Natural,
678599339,Estadio Johan Cruyff,Sant Joan Despí,Hierba Natural,
856795058,Estadi Municipal Can Misses,Eivissa,Hierba Natural,
616817864,Camp d`Esports,Lleida,Hierba Natural,
809204228,Estadio Municipal de Reus,Reus,Hierba Natural,
744575458,Campo Municipal El Collao,Alcoy,Hierba Natural,
607749150,Campo Municipal de Futbol Porreres-Ses Forques,Porreres,Hierba Artificial,
268261813,Estadio Municipal de Olot,Olot,Hierba Natural,
364692625,Camp Municipal Narcís Sala,Barcelona,,
255212995,Estadi Olìmpic Municipal de Terrassa,Terrassa,Hierba Artificial,
189847791,Campo Municipal Sant Rafael,Sant Antoni De Portmany,Hierba Artificial,
839868510,Campo de Futbol Mpal. San Gregorio,Torrent,Campo A - Hierba Artificial,
405624203,Estadio Municipal El Clariano,Ontinyent,,
887508108,"Campo de Fútbol ""Miguel Montleón""",Picassent,Hierba Artificial,
184668233,Campo de Son Malferit,Palma de Mallorca,Hierba Natural,
657343317,Camp Municipal Ramón Farrús,Lleida,Hierba Artificial,
168466399,Campo Municipal La Eragudina,Astorga,Hierba Natural,
624996321,Campo Municipal Las Callejas,Villaviciosa,Hierba Natural,
951107874,Campo de Fútbol Municipal La Planchada,Astillero (El),Hierba Natural,
493198475,Campo de Fútbol Municipal As Eiroas,Carballo,Hierba Natural,
260116054,Estadio de O Couto,Ourense,Hierba Natural,
905938681,Estadio Nuevo Ganzabal,Langreo,Hierba Artificial,
780340762,Campo Municipal La Albuera,Segovia,Hierba Natural,
459365887,LA MAYORDOMÍA 1,Legutio,,
947087485,PEPE GONÇALVEZ,Donostia / San Sebastián,,
3227,IPARRALDE,,Hierba Artificial,
528699783,Campo de Fútbol de Vallegón,Castro-Urdiales,,
706470098,Estadio Municipal de Miramar,Gozón,Hierba Natural,
315445522,Ciudad Deportiva de Castañares,Burgos,,
468689075,Anexos Estadio Helmántico,Villares De La Reina,Pistas Municipales - Hierba Natural,
237422645,Campo Do Vao,Coruxo (Vigo),Hierba Natural,
537835668,Estadio A Ribela,Sarria,Hierba Artificial,
166736977,Estadio Helmántico,Villares De La Reina,Hierba Natural,
827217194,Estadio José Arjiz,Verín,Hierba Natural,
526060829,Campo Municipal de Albán,Coles,Hierba Artificial,
315027307,Estadio Municipal de Riazor,A Coruña,Hierba Natural,
457657418,Estadio Román Valero,Madrid,Hierba Artificial,
925969011,Estadio Municipal Matapiñonera,San Sebastián De Los Reyes,Hierba Natural,
505752056,Estadio La Fuensanta,Cuenca,Hierba Natural,
724174370,Estadio Municipal San Marcos,Quintanar del Rey,Hierba Artificial,
507401457,Campo Municipal Los Arcos,Orihuela,Hierba Natural,
967108914,Ciudad Real Madrid,Madrid,Hierba Natural,
805763096,Estadio Municipal El Val,Alcalá De Henares,Hierba Natural,
211433132,Estadio Municipal Fernando Torres,Fuenlabrada,Hierba Natural,
664794566,Estadio Mariano González,Navalcarnero,Hierba Artificial,
410349458,Campo Municipal La Isla,Coria,Hierba Artificial,
575424622,Estadio Paquito Giménez,Socuéllamos,Hierba Artificial,
378854622,Campo Mpal. Antonio Solana,Alicante,Hierba Natural,
802509638,Anexo Estadio Municipal Matapiñonera,San Sebastián De Los Reyes,Hierba Artificial,
963901051,Estadi Olimpic Camilo Cano,La Nucia,Hierba Natural,
470322508,Ciudad Deportiva del CD Tenerife,San Cristóbal De La Laguna,Hierba Natural,
733413428,Estadio Municipal El Plantío,Burgos,Hierba Natural,
370135288,Estadio José Zorrilla,Valladolid,Hierba Natural,
307723194,Estadio El Sardinero,Santander,Hierba Natural,
956696369,Estadio La Rosaleda,Málaga,Hierba Natural,
190310582,Estadio Nuevo Los Cármenes,Granada,Hierba Natural,
787176821,Anoeta,San Sebastián-Donostia,Hierba Natural,
126162361,Estadio Municipal Nuevo Mirandilla,Cádiz,Hierba Natural,
628673788,Estadio El Alcoraz,Huesca,Hierba Natural,
965103475,Estadio Municipal El Molinón-Enrique Castro «Quini»,Gijón,,
924504456,Estadio de los Juegos Mediterráneos,Almería,Hierba Natural,
718005017,Estadio Municipal de Ipurua,Eibar,Hierba Natural,
133568456,Nuevo Estadio Castalia,Castellón De La Plana,Hierba Natural,
108267885,Mendizorrotza,Vitoria-Gasteiz,Hierba Natural,
770038118,Estadio Alfonso Murube,Ceuta,Hierba Natural,
424460816,La Romareda,Zaragoza,Hierba Natural,
167256802,Estadio Reino de León,León,Hierba Natural,
292515282,Estadio Municipal Carlos Belmonte,Albacete,Hierba Natural,
281795806,Nuevo Arcángel,Córdoba,Hierba Natural,
684624739,Estadio Modular,Zaragoza,Real Zaragoza - Hierba Natural,
728048929,Estadio Municipal de Anduva,Miranda de Ebro,Hierba Natural,
65312736,Estadi Mallorca Son Moix,Palma de Mallorca,Hierba Natural,
442474187,Camp de Mestalla,Valencia,Hierba Natural,
786394367,Estadio Balaidos,Vigo,Hierba Natural,
251562314,San Mamés,Bilbao,Hierba Natural,
114205052,RCDE Stadium,Barcelona,Hierba Natural,
62778710,Estadio Martínez Valero,Elche,Hierba Natural,
447287560,Estadio Santiago Bernabeu,Madrid,Hierba Natural,
500724245,Estadio La Cartuja Sevilla,Sevilla,Hierba Natural,
756399647,Estadio Metropolitano,Madrid,Hierba Natural,
564289276,Estadio Ciutat de Valencia,Valencia,Hierba Natural,
900126494,Estadio El Sadar,Pamplona,Hierba Natural,
774138590,Carlos Tartiere,Oviedo,Hierba Natural,
692053232,Estadio Ramón Sánchez-Pizjuán,Sevilla,Hierba Natural,
89166263,Estadio de Vallecas,Madrid,Hierba Natural,
334897701,Coliseum Getafe,Getafe,Hierba Natural,
632111935,Estadio Olímpico Lluís Companys,Barcelona,,
820063855,Camp Nou,Barcelona,Hierba Natural,
504439204,Estadio Alfredo Di Stéfano,Madrid,Hierba Natural,
278916607,Estadio Municipal de Pasarón,Pontevedra,Hierba Natural,
187771224,Estadio Ruta de la Plata,Zamora,Hierba Natural,
294268384,Campo Municipal A Malata,Ferrol,Hierba Natural,
415992362,Campo Municipal de Gobela,Getxo,Hierba Artificial,
303099821,Estadio Pedro Escartín,Guadalajara,Hierba Natural,
983264151,Estadio Municipal Román Suárez Puerta,Avilés,,
920548869,Estadio Anxo Carro,Lugo,Hierba Natural,
217766631,Nuevo Estadio Lasesarre,Barakaldo,,
665965036,Estadio Municipal El Toralín,Ponferrada,Hierba Natural,
560252159,Estadio Municipal El Prado,Talavera de la Reina,Hierba Natural,
991611808,Instalaciones de Tajonar H1,Aranguren,Hierba Natural,
784605644,Campo Municipal de Espiñedo,Carballiño (O),Hierba Natural,
788919544,Instalaciones Deportivas de Lezama,Lezama,Hierba Natural,
319585099,Estadio Principe Felipe,Cáceres,Hierba Natural,
404485926,Campo de A Pinguela,Monforte De Lemos,Hierba Natural,
362167378,Campo Municipal de Fadura,Getxo,Hierba Natural,
680979990,Estadio Municipal Luchan Ejea de los Caballeros,Ejea de los Caballeros,Hierba Artificial,
920349766,Ciudad Deportiva,Zaragoza,Hierba Artificial,
330524835,Campo Municipal de Urritxe,Amorebieta-Etxano,Hierba Natural,
311735880,Estadio Municipal La Molineta,Alfaro,Hierba Natural,
536604350,Estadio Las Gaunas,Logroño,Hierba Natural,
268036476,Campo Municipial La Salera,Nájera,Hierba Natural,
151820125,Campo Santa Ana,Utebo,Hierba Natural,
916453843,Ciudad de Tudela,Tudela,Hierba Natural,
26558456,Estadio Heliodoro Rodríguez López,Santa Cruz de Tenerife,Hierba Natural,
33542688,Estadio Municipal de Butarque,Leganés,Hierba Natural,
36265185,Estadio de la Cerámica,Vila-real,Hierba Natural,
36405783,Nuevo Los Pajaritos,Soria,Hierba Natural,
37293017,Estadio Romano José Fouto,Mérida,Hierba Natural,
50959602,Estadio Municipal Adolfo Suárez,Ávila,Hierba Natural,
417380358,Campo de Fútbol Artunduaga,Basauri,Hierba Natural,
621720244,Pvo. Mpal. Valle de Aranguren,Aranguren,Mutilnova - Hierba Artificial,
803275811,Campo de Fútbol Loinatz,Beasain,Hierba Natural,
157271232,Estadio Municipal La Almozara-El Carmen,Zaragoza,Hierba Artificial,
299680094,Stadium Gal,Irun,Hierba Natural,
355585260,Campo Municipal de Las Llanas,Sestao,Hierba Natural,
814952671,Estadio Urbieta 2,Gernika-Lumo,Hierba Artificial,
87659806,Estadio Urbieta,Gernika-Lumo,Hierba Artificial,
476761,HUESCA-Universidad,Huesca,"Hierba Artificial Árbitro: ESCARTIN LARRAZ, MARIO",
16,ANDORRA Juan Antonio Endeiza,Andorra,"Hierba Natural Árbitro: ARANDA ANQUELA, CARLOS",
21,BARBASTRO-Munic. de los Deportes,Barbastro,"Hierba Artificial Árbitro: ROYAN GARCIA, ALBERTO",
23,BELCHITE Municipal El Tejar,Belchite,"Hierba Artificial Árbitro: MELENDO MATEO, DANIEL",
27,BINEFAR Nuevo Los Olmos,Binéfar,"Hierba Artificial Árbitro: FLE USON , JORGE",
31,BORJA Manuel Meler,Borja,"Hierba Artificial Árbitro: LAPENA ANTOÑANZAS, CARLOS",
44,VALDEFIERRO-C.M.F.,Zaragoza,"Hierba Artificial Árbitro: NAVE MAYOLAS, ROBERTO",
54,CALATAYUD San Iñigo,Calatayud,"Hierba Natural Árbitro: GALLARDO LLORENTE, LUCIO",
58,CARIÑENA La Platera,Cariñena,"Hierba Artificial Árbitro: DE LOS RIOS ALVARIÑO, VICTOR",
75,CELLA-Municipal El Carro,Cella,"Hierba Artificial Árbitro: NUÑEZ PEREZ, SERGIO ANTONIO",
77,ALCAÑIZ-Cdad.Dep.Santa María,Alcañiz,"Hierba Artificial Árbitro: JELTI SALMI, LAKHDAR",
112,LA MUELA Ctro.Deportivo-Clemente Padilla,La Muela,"Hierba Artificial Árbitro: FUENTES SUILS, DIEGO",
113,"CUARTE DE HUERVA-Estadio Juan Guerrero ""El Lobo""",Cuarte de Huerva,"Hierba Artificial Árbitro: NIVELA GONZALEZ, DAVID",
124,EPILA La Huerta,Épila,"Hierba Artificial Árbitro: LUCIA LOBERA, ENRIQUE",
133,FRAGA La Estacada,Madrid,"Hierba Artificial Árbitro: ALVAREZ ABADIAS, RUBEN",
136,FUENTES DE EBRO N. San Miguel,Fuentes de Ebro,"Hierba Artificial Árbitro: RAMMAH , MOHAMED REDA",
137,GALLUR Municipal J.A.Jaqués Lebrero,Gallur,"Árbitro: FERNANDEZ MARTINEZ, AQUILINO",
143,ST. CASABLANCA-Gregorio Usabel,Orozko,"Hierba Artificial Árbitro: MELENDO MATEO, DANIEL",
145,HERRERA José Agustín Crespo,Madrid,"Hierba Artificial Árbitro: SANCHO ROS, IKER",
154,ILLUECA Papa Luna,Illueca,"Hierba Artificial Árbitro: HAGHIAC , MIHAITA MARIUS",
159,JOSÉ LUIS VIOLETA,Zaragoza,"Hierba Artificial Árbitro: MUÑOZ HERRERO, JOSE IGNACIO",
164,MUNICIPAL LA CAMISERA,Zaragoza,"Hierba Artificial Árbitro: FLE USON , JORGE",
178,LA PUEBLA DE ALFINDÉN -Miguel Angel Tolosana,La Puebla de Alfindén,"Hierba Artificial Árbitro: PEREZ TORRES TORRES, MIGUEL ANGEL",
