team_id,team_name,team_gender,crest_url,country_name
30106,ABADIÑO,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1093_grande.png,
6743,UROLA K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2043.jpg,
5737,ELGOIBAR C.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Equipos/00100_0010135639_CD_ELGOIBAR.JPG,
6425,ALOÑA MENDI K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010121903_LOGO_BARRIXA.png,
6886,ZUMAIAKO F.T.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2062.jpg,
6495,BERGARA K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2025.png,
5995,ANAITASUNA C.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2010.jpg,
5664,"REAL SOCIEDAD S.A.D. ""B""",,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0009936261_Real_Sociedad_vect.png,
6071,"EIBAR S.A.D. ""B""",,https://www.gipuzkoafutbola.eus/pnfg/pimg/Equipos/00100_0010135240_SD_EIBAR_Escudo.png,
6281,LAGUN ONAK C.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010134713_escudo_lagun.png,
12649,ARENAS,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1002_grande.png,
29784,ASTIGARRAGAKO MUNDARRO FKE,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010134569_logo_mundarro_page_0001.jpg,
6974,BILLABONA K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2075.jpg,
1895319,AIZKORRI SEGURA F.T.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2417.jpg,
7645,OSTADAR S.K.T.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2412.jpg,
5633,BEASAIN S.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2001.jpg,
7060,DANENA K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2079.jpg,
5783,AÑORGA K.K.E,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010144020_A_orga_KKE.png,
6780,"VASCONIA C.D. ""B""",,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2051.jpg,
6230,ZARAUTZ K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2016.JPG,
6632,"ANTIGUOKO K.E. ""B""",,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2030.jpg,
7606,MARTUTENE KE,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2411.png,
29809,ARRUPE CHAMINADE C.D.D.F.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010134622_cd_sanse.bmp,
6567,"KOSTKAS C.D. ""B""",,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2028.png,
8139,IGELTEGI DE DONOSTIA C.F.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0000107114_00100_0000106796_eSCUDO_IGELTEGI.png,
5881,EUSKALDUNA ANDOAINDARRA S.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2007.jpg,
6032,ORDIZIA K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010131336_Ordizia_berria.png,
6122,HERNANI C.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0000105113_hernani_vec.png,
29706,EIBAR S.A.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Equipos/00100_0010137384_SD_EIBAR_Escudo.png,
13670,INDARTSU,,https://www.fvf-bff.eus/pnfg/pimg/Clubes/00100_0009920691_Escudo_Indartsu_2017__1_.png,
13329,GETXO,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1038_grande.png,
13834,LOYOLA INDAUCHU,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1083_grande.png,
12703,BASCONIA,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1004_grande.png,
21958333,SANTURTZI,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1053_grande.png,
14810,ASTRABUDUAKO,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1301_grande.png,
16001,BASKAURI,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1651_grande.png,
12948,GERNIKA,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1019_grande.png,
29769,BILLABONA F.K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2075.jpg,
12805,BARAKALDO,,https://www.fvf-bff.eus/pnfg/pimg/Clubes/00100_0009922517_Screenshot_2024_09_19_18_02_50_64_40deb401b9ffe8e1df2f1cc5ba480b12.jpg,
12974,CULTURAL DPVA. DURANGO,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1020_grande.png,
30076,SOLOKOETXE,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1035_grande.png,
